##	Base 30	Cluster 0							Cluster 3							Cluster 6							
-	(0)(0)	3	1	1	1	1	1	3	6	5	1	1	1	1	1	2	5	2	1	1	1	1	1	5	5
1	(0)(1)	4	1	1	1	1	1	4	4	6	1	1	1	1	1	3	3	3	1	1	1	1	1	6	3
2	(0)(2)	5	1	1	1	1	1	5	2	4	1	1	1	1	2	1	6	1	1	1	1	1	2	4	6
3	(0)(3)	3	1	1	1	1	2	3	5	5	1	1	1	1	2	2	4	2	1	1	1	1	2	5	4
4	(0)(4)	4	1	1	1	1	2	4	3	6	1	1	1	1	2	3	2	3	1	1	1	1	2	6	2
5	(0)(5)	5	1	1	1	1	2	5	1	4	1	1	1	1	3	1	5	1	1	1	1	1	3	4	5
6	(0)(6)	2	1	1	1	1	3	2	6	5	1	1	1	1	3	2	3	2	1	1	1	1	3	5	3
7	(0)(7)	3	1	1	1	1	3	3	4	6	1	1	1	1	3	3	1	3	1	1	1	1	3	6	1
8	(0)(8)	2	1	1	1	1	4	2	5	4	1	1	1	1	4	1	4	1	1	1	1	1	4	4	4
9	(0)(9)	1	1	1	1	1	5	1	6	5	1	1	1	1	4	2	2	2	1	1	1	1	4	5	2
10	(0)(10)	2	1	1	1	1	5	2	4	4	1	1	1	1	5	1	3	1	1	1	1	1	5	4	3
11	(0)(11)	1	1	1	1	1	6	1	5	5	1	1	1	1	5	2	1	6	1	1	1	2	1	1	4
12	(0)(12)	2	1	1	1	2	1	3	6	4	1	1	1	1	6	1	2	1	1	1	1	2	1	5	5
13	(0)(13)	3	1	1	1	2	1	4	4	4	1	1	1	2	1	2	5	2	1	1	1	2	1	6	3
14	(0)(14)	4	1	1	1	2	1	5	2	5	1	1	1	2	1	3	3	6	1	1	1	2	2	1	3
15	(0)(15)	2	1	1	1	2	2	3	5	6	1	1	1	2	1	4	1	1	1	1	1	2	2	5	4
16	(0)(16)	3	1	1	1	2	2	4	3	3	1	1	1	2	2	1	6	2	1	1	1	2	2	6	2
17	(0)(17)	4	1	1	1	2	2	5	1	4	1	1	1	2	2	2	4	6	1	1	1	2	3	1	2
18	(0)(18)	1	1	1	1	2	3	2	6	5	1	1	1	2	2	3	2	1	1	1	1	2	3	5	3
