##	Base30	Cluster0	Cluster3	Cluster6
461	(15)(11)	10001000101000000	11110001010000100	11000010100111110
462	(15)(12)	11000100010110000	11110001010000010	10000101000111100
463	(15)(13)	11100010001011100	11100010110100000	10000101000011110
464	(15)(14)	10011001101000000	11110001011011000	10000101101111100
465	(15)(15)	10001000100100000	11111000101101110	10000101100111110
466	(15)(16)	11000100010011000	11100010110010000	11111000010111010
467	(15)(17)	11100010001001110	11110001011001100	11110000101111010
468	(15)(18)	10111011101000000	11100010110001000	11100001011111010
469	(15)(19)	10011001100100000	11110001011000110	11000010111111010
470	(15)(20)	11001100110011000	11100010110000100	10001101011100000
471	(15)(21)	11100110011001110	11100010110000010	11000110101111000
472	(15)(22)	10111011100100000	11000101110100000	11100011010111110
473	(15)(23)	11011101110011000	11100010111011000	10001101001110000
474	(15)(24)	11101110111001110	11110001011101110	11000110100111100
475	(15)(25)	11000100010000110	11000101110010000	10001101000111000
476	(15)(26)	10111011100010000	11100010111001100	11000110100011110
477	(15)(27)	10011001100001000	11000101110001000	10001101000011100
478	(15)(28)	11001100110000110	11100010111000110	10001101000001110
479	(15)(29)	10111011100001000	11000101110000100	10000100101111000
480	(16)(0)	10001000100000010	11000101110000010	11000010010111110
481	(16)(1)	10001000110110000	10001011110100000	10001101101111000
482	(16)(2)	11000100011011100	11000101111011000	10000100100111100
483	(16)(3)	10011001110110000	11100010111101110	10001101100111100
484	(16)(4)	10001000110011000	10001011110010000	10000100100011110
485	(16)(5)	11000100011001110	11000101111001100	10001101100011110
486	(16)(6)	10111011110110000	10001011110001000	10000100110111110
487	(16)(7)	10011001110011000	11000101111000110	10001101110111110
488	(16)(8)	11001100111001110	10001011110000100	10011101011000000
489	(16)(9)	10111011110011000	10001011110000010	11001110101110000
490	(16)(10)	11011101111001110	10001011111011000	11100111010111100
491	(16)(11)	10001000110000110	11000101111101110	10011101001100000
492	(16)(12)	10011001110000110	10001011111001100	11001110100111000
493	(16)(13)	10001000111011100	10001011111000110	11100111010011110
494	(16)(14)	10011001111011100	10001011111101110	10011101000110000
495	(16)(15)	10001000111001110	11111001101010000	11001110100011100
496	(16)(16)	10111011111011100	11111100110101100	10011101000011000
497	(16)(17)	10011001111001110	10011010111111000	11001110100001110
498	(16)(18)	11101110010100000	11111001101001000	10011101000001100
499	(16)(19)	11110111001011000	11111100110100110	10011101000000110
500	(16)(20)	11111011100101110	10011010011111100	10001100101110000
501	(16)(21)	11101110010010000	11111001101000100	11000110010111100
502	(16)(22)	11110111001001100	10011010001111110	10011101101110000
503	(16)(23)	11101110010001000	11111001101000010	10001100100111000
504	(16)(24)	11110111001000110	11110001001010000	11000110010011110
505	(16)(25)	11101110010000100	11111000100101100	10011101100111000
506	(16)(26)	11101110010000010	11110011011010000	10001100100011100
507	(16)(27)	11001100010100000	11110001001001000	10011101100011100
508	(16)(28)	11100110001011000	11111000100100110	10001100100001110
509	(16)(29)	11110011000101110	11110011011001000	10011101100001110
510	(17)(0)	11011100110100000	11111001101100110	10000100010111100
511	(17)(1)	11001100010010000	11110011011000100	10001100110111100
512	(17)(2)	11110111001101110	11110001001000010	10000100010011110
513	(17)(3)	11011100110010000	11110011011000010	10011101110111100
514	(17)(4)	11101110011001100	11100010011010000	10001100110011110
515	(17)(5)	11100110001000110	11110001001101100	10011101110011110
516	(17)(6)	11011100110001000	11100110111010000	11011110101100000
517	(17)(7)	11001100010000100	11100010011001000	11101111010111000
518	(17)(8)	11011100110000100	11110001001100110	11110111101011110
519	(17)(9)	11001100010000010	11100110111001000	10111101001000000
520	(17)(10)	11011100110000010	11110011011100110	11011110100110000
521	(17)(11)	10001000010100000	11100110111000100	11101111010011100
522	(17)(12)	11000100001011000	11100010011000010	10111101000100000
523	(17)(13)	11100010000101110	11100110111000010	11011110100011000
524	(17)(14)	10011000110100000	11000100111010000	11101111010001110
525	(17)(15)	10001000010010000	11100010011101100	10111101000010000
526	(17)(16)	11000100001001100	11001101111010000	11011110100001100
527	(17)(17)	10111001110100000	11000100111001000	10111101000001000
528	(17)(18)	10011000110010000	11100010011100110	11011110100000110
529	(17)(19)	11001100011001100	11001101111001000	10111101000000100
530	(17)(20)	11000100001000110	11100110111100110	10011100101100000
531	(17)(21)	10111001110010000	11001101111000100	11001110010111000
532	(17)(22)	11011100111001100	11000100111000010	11100111001011110
533	(17)(23)	10001000010000100	11001101111000010	10111101101100000
534	(17)(24)	10111001110001000	10001001111010000	10011100100110000
535	(17)(25)	10011000110000100	11000100111101100	11001110010011100
536	(17)(26)	10001000010000010	10011011111010000	10111101100110000
537	(17)(27)	10011000110000010	10001001111001000	11011110110011100
538	(17)(28)	10001000011011000	11000100111100110	11001110010001110
539	(17)(29)	11000100001101110	10011011111001000	10111101100011000
540	(18)(0)	10011000111011000	11001101111100110	10011100100001100
541	(18)(1)	10001000011001100	10011011111000100	10111101100001100
542	(18)(2)	10111001111011000	10001001111000010	10011100100000110
543	(18)(3)	10011000111001100	10011011111000010	10111101100000110
544	(18)(4)	10001000011000110	10001001111101100	10001100010111000
545	(18)(5)	10111001111001100	10011011111101100	11000110001011110
546	(18)(6)	10011000111000110	10001001111100110	10011100110111000
547	(18)(7)	10001000011101110	10011011111100110	10001100010011100
548	(18)(8)	10111001111101110	11111101110101000	10111101110111000
549	(18)(9)	11101110001010000	10111010111110000	10011100110011100
550	(18)(10)	11110111000101100	11011101011111100	10001100010001110
551	(18)(11)	11101110001001000	11111101110100100	10111101110011100
552	(18)(12)	11110111000100110	10111010011111000	10011100110001110
553	(18)(13)	11101110001000100	11011101001111110	10111101110001110
554	(18)(14)	11101110001000010	11111101110100010	10000100001011110
555	(18)(15)	11001100001010000	10111010001111100	10001100011011110
556	(18)(16)	11100110000101100	10111010000111110	10011100111011110
557	(18)(17)	11011100011010000	11111001100101000	10111101111011110
558	(18)(18)	11001100001001000	11111100110010110	10111100101000000
559	(18)(19)	11100110000100110	10011001011111100	11011110010110000
560	(18)(20)	11011100011001000	11111011101101000	11101111001011100
561	(18)(21)	11101110001100110	11111101110110110	10111100100100000
562	(18)(22)	11011100011000100	10111011011111100	11011110010011000
563	(18)(23)	11001100001000010	10011001001111110	11101111001001110
564	(18)(24)	11011100011000010	11111011101100100	10111100100010000
565	(18)(25)	10001000001010000	11111001100100010	11011110010001100
566	(18)(26)	11000100000101100	10111011001111110	10111100100001000
567	(18)(27)	10011000011010000	11111011101100010	11011110010000110
568	(18)(28)	10001000001001000	11110001000101000	10111100100000100
569	(18)(29)	11000100000100110	11111000100010110	10111100100000010
570	(19)(0)	10111000111010000	11110011001101000	10011100010110000
571	(19)(1)	10011000011001000	11110001000100100	11001110001011100
572	(19)(2)	11001100001100110	11110111011101000	10111100110110000
573	(19)(3)	10111000111001000	11111011101110110	10011100010011000
574	(19)(4)	11011100011100110	11110001000100010	11001110001001110
575	(19)(5)	10001000001000010	11110111011100100	10111100110011000
576	(19)(6)	10111000111000100	11110011001100010	11011110011001110
577	(19)(7)	10011000011000010	11110111011100010	10111100110001100
578	(19)(8)	10111000111000010	11100010001101000	10011100010000110
579	(19)(9)	10011000011101100	11110001000110110	10111100110000110
580	(19)(10)	10111000111101100	11100110011101000	10001100001011100
581	(19)(11)	10111000111100110	11100010001100100	10011100011011100
582	(19)(12)	11110111000010110	11101110111101000	10001100001001110
583	(19)(13)	11101110000100010	11100110011100100	10111100111011100
584	(19)(14)	11100110000010110	11100010001100010	10011100011001110
585	(19)(15)	11001100000100100	11101110111100100	10111100111001110
586	(19)(16)	11001100000100010	11100110011100010	10111100010100000
587	(19)(17)	10001000000101000	11101110111100010	11011110001011000
588	(19)(18)	10011000001101000	11000100011101000	11101111000101110
589	(19)(19)	10111000011101000	11100010001110110	10111100010010000
590	(19)(20)	10001000000100010	11001100111101000	11011110001001100
591	(19)(21)	10011000001100010	11000100011100100	10111100010001000
592	(19)(22)	11000010101100000	11011101111101000	11011110001000110
593	(19)(23)	10000101001000000	11001100111100100	10111100010000100
594	(19)(24)	11000010100110000	11000100011100010	10111100010000010
595	(19)(25)	10000101000100000	11011101111100100	10011100001011000
596	(19)(26)	11000010100011000	11001100111100010	11001110000101110
597	(19)(27)	11100001010001110	11011101111100010	10111100011011000
598	(19)(28)	10000101000010000	10001000111101000	10011100001001100
599	(19)(29)	11000010100001100	11000100011110110	10111100011001100
600	(20)(0)	10000101000001000	10011001111101000	10011100001000110
601	(20)(1)	11000010100000110	10001000111100100	10111100011000110
602	(20)(2)	10000101101100000	10111011111101000	10001100000101110
603	(20)(3)	11000010110111000	10011001111100100	10011100001101110
604	(20)(4)	11100001011011110	10001000111100010	10111100011101110
605	(20)(5)	10000101100110000	10111011111100100	10111100001010000
606	(20)(6)	11000010110011100	10011001111100010	11011110000101100
607	(20)(7)	10000101100011000	10111011111100010	10111100001001000
608	(20)(8)	11000010110001110	10001000111110110	11011110000100110
609	(20)(9)	10000101100001100	10011001111110110	10111100001000100
610	(20)(10)	10000101100000110	11111101110010100	10111100001000010
611	(20)(11)	10000101110111000	10111001011111000	10011100000101100
612	(20)(12)	11000010111011110	11011100101111110	10111100001101100
613	(20)(13)	10000101110011100	11111101110010010	10011100000100110
614	(20)(14)	10000101110001110	10111001001111100	10111100001100110
615	(20)(15)	10000101111011110	10111001000111110	10111100000101000
616	(20)(16)	11000110101000000	11111001100010100	11011110000010110
617	(20)(17)	11100011010110000	10011000101111110	10111100000100100
618	(20)(18)	11110001101011100	11111011100110100	10111100000100010
619	(20)(19)	11000110100100000	11111001100010010	10011100000010110
620	(20)(20)	11100011010011000	10111001101111110	10111100000110110
621	(20)(21)	11000110100010000	11111011100110010	10000010101111000
622	(20)(22)	11100011010001100	11110001000010100	11000001010111110
623	(20)(23)	11000110100001000	11110011000110100	10000010100111100
624	(20)(24)	11100011010000110	11110001000010010	10000010100011110
625	(20)(25)	11000110100000100	11110111001110100	10000010110111110
626	(20)(26)	10000100101000000	11110011000110010	10000110101110000
627	(20)(27)	11000010010110000	11110111001110010	11000011010111100
628	(20)(28)	11100001001011100	11100010000110100	10000110100111000
629	(20)(29)	10001101101000000	11100110001110100	11000011010011110
630	(21)(0)	10000100100100000	11100010000110010	10000110100011100
631	(21)(1)	11100011011011100	11101110011110100	10000110100001110
632	(21)(2)	11100001001001110	11100110001110010	10000010010111100
633	(21)(3)	10001101100100000	11101110011110010	10000110110111100
634	(21)(4)	11000110110011000	11000100001110100	10000010010011110
635	(21)(5)	11100011011001110	11001100011110100	10000110110011110
636	(21)(6)	10001101100010000	11000100001110010	10001110101100000
637	(21)(7)	10000100100001000	11011100111110100	11000111010111000
638	(21)(8)	11000010010000110	11001100011110010	11100011101011110
639	(21)(9)	10001101100001000	11011100111110010	10001110100110000
640	(21)(10)	11000110110000110	10001000011110100	11000111010011100
641	(21)(11)	10000100100000010	10011000111110100	10001110100011000
642	(21)(12)	10000100110110000	10001000011110010	11000111010001110
643	(21)(13)	11000010011011100	10111001111110100	10001110100001100
644	(21)(14)	10001101110110000	10011000111110010	10001110100000110
645	(21)(15)	10000100110011000	10111001111110010	10000110010111000
646	(21)(16)	11000010011001110	11111101110001010	11000011001011110
647	(21)(17)	10001101110011000	10111000101111100	10001110110111000
648	(21)(18)	11000110111001110	10111000100111110	10000110010011100
649	(21)(19)	10001101110001100	11111001100001010	10001110110011100
650	(21)(20)	10000100110000110	11111011100011010	10000110010001110
651	(21)(21)	10000100111011100	11110001000001010	10001110110001110
652	(21)(22)	10001101111011100	11110011000011010	10000010001011110
653	(21)(23)	10000100111001110	11110111000111010	10000110011011110
654	(21)(24)	10001101111001110	11100010000011010	10001110111011110
655	(21)(25)	11100111010100000	11100110000111010	10011110101000000
656	(21)(26)	11110011101011000	11101110001111010	11001111010110000
657	(21)(27)	11111001110101110	11000100000111010	11100111101011100
658	(21)(28)	11100111010010000	11001100001111010	10011110100100000
659	(21)(29)	11110011101001100	11011100011111010	11001111010011000
660	(22)(0)	11100111010001000	10001000001111010	11100111101001110
661	(22)(1)	11110011101000110	10011000011111010	10011110100010000
662	(22)(2)	11100111010000100	10111000111111010	11001111010001100
663	(22)(3)	11100111010000010	10111000010111110	10011110100001000
664	(22)(4)	11000110010100000	11110000101010000	11001111010000110
665	(22)(5)	11100011001011000	11111000010101100	10011110100000100
666	(22)(6)	11001110110100000	11110000101001000	10011110100000010
667	(22)(7)	11000110010010000	11111000010100110	10001110010110000
668	(22)(8)	11100011001001100	11110000101000100	11000111001011100
669	(22)(9)	11001110110010000	11110000101000010	10011110110110000
670	(22)(10)	11100111011001100	11100001011010000	10001110010011000
671	(22)(11)	11100011001000110	11110000101101100	11000111001001110
672	(22)(12)	11001110110001000	11100001011001000	10011110110011000
673	(22)(13)	11000110010000100	11110000101100110	11001111011001110
674	(22)(14)	11001110110000100	11100001011000100	10011110110001100
675	(22)(15)	11000110010000010	11100001011000010	10001110010000110
676	(22)(16)	11001110110000010	11000010111010000	10011110110000110
677	(22)(17)	10000100010100000	11100001011101100	10000110001011100
678	(22)(18)	11000010001011000	11000010111001000	10001110011011100
679	(22)(19)	10001100110100000	11100001011100110	10000110001001110
680	(22)(20)	10000100010010000	11000010111000100	10011110111011100
681	(22)(21)	11100011001101110	11000010111000010	10001110011001110
682	(22)(22)	10011101110100000	10000101111010000	10011110111001110
683	(22)(23)	10001100110010000	11000010111101100	11011111010100000
684	(22)(24)	11000110011001100	10000101111001000	11101111101011000
685	(22)(25)	11000010001000110	11000010111100110	11110111110101110
686	(22)(26)	10011101110010000	10000101111000100	11011111010010000
687	(22)(27)	11001110111001100	10000101111000010	11101111101001100
688	(22)(28)	10000100010000100	10000101111101100	11011111010001000
689	(22)(29)	10011101110001000	10000101111100110	11101111101000110
690	(23)(0)	10001100110000100	11111000110101000	11011111010000100
691	(23)(1)	10000100010000010	11111100011010110	11011111010000010
692	(23)(2)	10001100110000010	10001101011111100	10011110010100000
693	(23)(3)	10000100011011000	11111000110100100	11001111001011000
694	(23)(4)	11000010001101110	10001101001111110	11100111100101110
695	(23)(5)	10001100111011000	11111000110100010	10111110110100000
696	(23)(6)	10000100011001100	11110000100101000	10011110010010000
697	(23)(7)	10011101111011000	11111000010010110	11001111001001100
698	(23)(8)	10001100111001100	11110001101101000	10111110110010000
699	(23)(9)	10000100011000110	11110000100100100	11011111011001100
700	(23)(10)	10011101111001100	11110001101100100	11001111001000110
701	(23)(11)	10001100111000110	11110000100100010	10111110110001000
702	(23)(12)	10000100011101110	11110001101100010	10011110010000100
703	(23)(13)	10001100111101110	11100001001101000	10111110110000100
704	(23)(14)	10011101111101110	11110000100110110	10011110010000010
705	(23)(15)	11110111101010000	11100011011101000	10111110110000010
706	(23)(16)	11111011110101100	11100001001100100	10001110001011000
707	(23)(17)	11110111101001000	11100011011100100	11000111000101110
708	(23)(18)	11111011110100110	11100001001100010	10011110011011000
709	(23)(19)	11110111101000100	11100011011100010	10001110001001100
710	(23)(20)	11110111101000010	11000010011101000	10111110111011000
711	(23)(21)	11100111001010000	11100001001110110	10011110011001100
712	(23)(22)	11110011100101100	11000110111101000	10001110001000110
713	(23)(23)	11101111011010000	11000010011100100	10111110111001100
714	(23)(24)	11110111101101100	11000110111100100	10011110011000110
715	(23)(25)	11110011100100110	11000010011100010	10111110111000110
716	(23)(26)	11101111011001000	11000110111100010	10000110000101110
717	(23)(27)	11110111101100110	10000100111101000	10001110001101110
718	(23)(28)	11101111011000100	11000010011110110	10011110011101110
719	(23)(29)	11100111001000010	10001101111101000	10111110111101110
720	(24)(0)	11101111011000010	10000100111100100	11011111001010000
721	(24)(1)	11000110001010000	10001101111100100	11101111100101100
722	(24)(2)	11100011000101100	10000100111100010	11011111001001000
723	(24)(3)	11001110011010000	10001101111100010	11101111100100110
724	(24)(4)	11000110001001000	10000100111110110	11011111001000100
725	(24)(5)	11100011000100110	10001101111110110	11011111001000010
726	(24)(6)	11011110111010000	11111100111010100	10011110001010000
727	(24)(7)	11001110011001000	10011101011111000	11001111000101100
728	(24)(8)	11100111001100110	11001110101111110	10111110011010000
729	(24)(9)	11011110111001000	11111100111010010	10011110001001000
730	(24)(10)	11101111011100110	10011101001111100	11001111000100110
731	(24)(11)	11000110001000010	10011101000111110	10111110011001000
732	(24)(12)	11011110111000100	11111000110010100	11011111001100110
733	(24)(13)	11001110011000010	10001100101111110	10111110011000100
734	(24)(14)	11011110111000010	11111001110110100	10011110001000010
735	(24)(15)	10000100001010000	11111000110010010	10111110011000010
736	(24)(16)	11000010000101100	10011101101111110	10001110000101100
737	(24)(17)	10001100011010000	11111001110110010	10011110001101100
738	(24)(18)	10000100001001000	11110000100010100	10001110000100110
739	(24)(19)	11000010000100110	11110001100110100	10111110011101100
740	(24)(20)	10011100111010000	11110000100010010	10011110001100110
741	(24)(21)	10001100011001000	11110011101110100	10111110011100110
742	(24)(22)	11000110001100110	11110001100110010	11011111000101000
743	(24)(23)	10111101111010000	11110011101110010	11101111100010110
744	(24)(24)	10011100111001000	11100001000110100	11011111000100100
745	(24)(25)	11001110011100110	11100011001110100	11011111000100010
746	(24)(26)	10000100001000010	11100001000110010	10011110000101000
747	(24)(27)	10111101111001000	11100111011110100	11001111000010110
748	(24)(28)	11011110111100110	11100011001110010	10111110001101000
749	(24)(29)	10001100011000010	11100111011110010	10011110000100100
750	(25)(0)	10111101111000100	11000010001110100	10111110001100100
751	(25)(1)	10000100001101100	11000110011110100	10011110000100010
752	(25)(2)	10001100011101100	11000010001110010	10111110001100010
753	(25)(3)	10000100001100110	11001110111110100	10001110000010110
754	(25)(4)	10011100111101100	11000110011110010	10011110000110110
755	(25)(5)	10001100011100110	11001110111110010	10111110001110110
756	(25)(6)	10111101111101100	10000100011110100	11011111000010100
757	(25)(7)	10011100111100110	10001100111110100	11011111000010010
758	(25)(8)	10111101111100110	10000100011110010	10011110000010100
759	(25)(9)	11110111100101000	10011101111110100	10111110000110100
760	(25)(10)	11111011110010110	10001100111110010	10011110000010010
761	(25)(11)	11110111100100100	10011101111110010	10111110000110010
762	(25)(12)	11110111100100010	10111101011110000	10000001010111100
763	(25)(13)	11100111000101000	11011110101111100	10000001010011110
764	(25)(14)	11110011100010110	10111101001111000	10000011010111000
765	(25)(15)	11101111001101000	11011110100111110	11000001101011110
766	(25)(16)	11110111100110110	10111101000111100	10000011010011100
767	(25)(17)	11101111001100100	10111101000011110	10000011010001110
768	(25)(18)	11100111000100010	11111100111001010	10000001001011110
769	(25)(19)	11101111001100010	10011100101111100	10000011011011110
770	(25)(20)	11000110000101000	11111101111011010	10000111010110000
771	(25)(21)	11100011000010110	10111101101111100	11000011101011100
772	(25)(22)	11001110001101000	10011100100111110	10000111010011000
773	(25)(23)	11000110000100100	10111101100111110	11000011101001110
774	(25)(24)	11011110011101000	11111000110001010	10000111010001100
775	(25)(25)	11001110001100100	11111001110011010	10000111010000110
776	(25)(26)	11000110000100010	11111011110111010	10000011001011100
777	(25)(27)	11011110011100100	11110000100001010	10000111011011100
778	(25)(28)	11001110001100010	11110001100011010	10000011001001110
779	(25)(29)	11011110011100010	11110011100111010	10000111011001110
780	(26)(0)	10000100000101000	11110111101111010	10001111010100000
781	(26)(1)	11000010000010110	11100001000011010	11000111101011000
782	(26)(2)	10001100001101000	11100011000111010	11100011110101110
783	(26)(3)	11000110000110110	11100111001111010	10001111010010000
784	(26)(4)	10011100011101000	11101111011111010	11000111101001100
785	(26)(5)	10001100001100100	11000010000111010	10001111010001000
786	(26)(6)	10000100000100010	11000110001111010	11000111101000110
787	(26)(7)	10111100111101000	11001110011111010	10001111010000100
788	(26)(8)	10011100011100100	11011110111111010	10001111010000010
789	(26)(9)	10001100001100010	10000100001111010	10000111001011000
790	(26)(10)	10111100111100100	10001100011111010	11000011100101110
791	(26)(11)	10011100011100010	10011100111111010	10001111011011000
792	(26)(12)	10111100111100010	10111100101111000	11000111101101110
793	(26)(13)	10001100001110110	11011110010111110	10001111011001100
794	(26)(14)	10111100111110110	10111100100111100	10000111001000110
795	(26)(15)	11110111100010010	10111100100011110	10001111011000110
796	(26)(16)	11101111000110100	10011100010111110	10000011000101110
797	(26)(17)	11101111000110010	10111100110111110	10000111001101110
798	(26)(18)	11001110000110100	10111100010111100	10001111011101110
799	(26)(19)	11011110001110100	10111100010011110	11001111101010000
800	(26)(20)	11011110001110010	10111100001011110	11100111110101100
801	(26)(21)	10001100000110100	11110000010101000	11001111101001000
802	(26)(22)	10011100001110100	11110000010100100	11100111110100110
803	(26)(23)	10111100011110100	11110000010100010	11001111101000100
804	(26)(24)	10111100011110010	11100000101101000	11001111101000010
805	(26)(25)	10000010101000000	11110000010110110	10001111001010000
806	(26)(26)	10000010100100000	11100000101100100	11000111100101100
807	(26)(27)	11000001010011000	11100000101100010	10011111011010000
808	(26)(28)	10000010100010000	11000001011101000	11001111101101100
809	(26)(29)	10000010100001000	11100000101110110	11000111100100110
810	(27)(0)	10000010100000100	11000001011100100	10011111011001000
811	(27)(1)	10000010110110000	11000001011100010	10001111001000100
812	(27)(2)	10000010110011000	10000010111101000	10011111011000100
813	(27)(3)	10000010110001100	11000001011110110	10001111001000010
814	(27)(4)	10000010110000110	10000010111100100	10011111011000010
815	(27)(5)	10000010111011100	10000010111100010	10000111000101100
816	(27)(6)	10000010111001110	10000010111110110	10001111001101100
817	(27)(7)	11000011010100000	11111000011010100	10000111000100110
818	(27)(8)	11000011010010000	10000110101111110	10011111011101100
819	(27)(9)	11100001101001100	11111000011010010	10001111001100110
820	(27)(10)	11000011010001000	11110000010010100	10011111011100110
821	(27)(11)	11100001101000110	11110000110110100	11101111110101000
822	(27)(12)	11000011010000100	11110000010010010	11110111111010110
823	(27)(13)	11000011010000010	11110000110110010	11101111110100100
824	(27)(14)	10000010010100000	11100000100110100	11101111110100010
825	(27)(15)	11000001001011000	11100001101110100	11001111100101000
826	(27)(16)	10000110110100000	11100000100110010	11100111110010110
827	(27)(17)	11000011011011000	11100001101110010	11011111101101000
828	(27)(18)	11000001001001100	11000001001110100	11001111100100100
829	(27)(19)	10000110110010000	11000011011110100	11011111101100100
830	(27)(20)	11000011011001100	11000001001110010	11001111100100010
831	(27)(21)	10000110110001000	11000011011110010	11011111101100010
832	(27)(22)	11000011011000110	10000010011110100	10001111000101000
833	(27)(23)	10000110110000100	10000110111110100	11000111100010110
834	(27)(24)	10000010010000010	10000010011110010	10011111001101000
835	(27)(25)	10000110110000010	10000110111110010	10001111000100100
836	(27)(26)	10000010011011000	11111100011101010	10111111011101000
837	(27)(27)	11000001001101110	10001110101111100	10011111001100100
838	(27)(28)	10000110111011000	10001110100111110	10001111000100010
839	(27)(29)	11000011011101110	11111000011001010	10111111011100100
840	(28)(0)	10000110111001100	11111000111011010	10011111001100010
841	(28)(1)	10000010011000110	11110000010001010	10111111011100010
842	(28)(2)	10000110111000110	11110000110011010	10000111000010110
843	(28)(3)	10000010011101110	11110001110111010	10001111000110110
844	(28)(4)	10000110111101110	11100000100011010	10011111001110110
845	(28)(5)	11100011101010000	11100001100111010	10111111011110110
846	(28)(6)	11100011101001000	11100011101111010	11101111110010100
847	(28)(7)	11100011101000100	11000001000111010	11101111110010010
848	(28)(8)	11100011101000010	11000011001111010	11001111100010100
849	(28)(9)	11000011001010000	11000111011111010	11011111100110100
850	(28)(10)	11000111011010000	10000010001111010	11001111100010010
851	(28)(11)	11100011101101100	10000110011111010	11011111100110010
852	(28)(12)	11100001100100110	10001110111111010	10001111000010100
853	(28)(13)	11000111011001000	10011110101111000	10011111000110100
854	(28)(14)	11100011101100110	11001111010111110	10001111000010010
855	(28)(15)	11000111011000100	10011110100111100	10111111001110100
856	(28)(16)	11000011001000010	10011110100011110	10011111000110010
857	(28)(17)	11000111011000010	10001110010111110	10111111001110010
858	(28)(18)	10000010001010000	10011110110111110	11101111110001010
859	(28)(19)	10000110011010000	10111110101110000	11001111100001010
860	(28)(20)	10000010001001000	11011111010111100	11011111100011010
861	(28)(21)	11000001000100110	10111110100111000	10001111000001010
862	(28)(22)	10001110111010000	11011111010011110	10011111000011010
863	(28)(23)	10000110011001000	10111110100011100	10111111000111010
864	(28)(24)	10000010001000100	10111110100001110	10000001101011100
865	(28)(25)	10001110111001000	10011110010111100	10000001101001110
866	(28)(26)	10000110011000100	10111110110111100	10000011101011000
867	(28)(27)	10000010001000010	10011110010011110	11000001110101110
868	(28)(28)	10001110111000100	10111110110011110	10000011101001100
869	(28)(29)	10000110011000010	10111110010111000	10000011101000110
870	(29)(0)	10000010001101100	11011111001011110	10000001100101110
871	(29)(1)	10000110011101100	10111110010011100	10000011101101110
872	(29)(2)	10000010001100110	10111110010001110	10000111101010000
873	(29)(3)	10001110111101100	10011110001011110	11000011110101100
874	(29)(4)	10000110011100110	10111110011011110	10000111101001000
875	(29)(5)	10001110111100110	10111110001011100	11000011110100110
876	(29)(6)	11110011110101000	10111110001001110	10000111101000100
877	(29)(7)	11110011110100100	10111110000101110	10000111101000010
878	(29)(8)	11110011110100010	11100000010110100	10000011100101100
879	(29)(9)	11100011100101000	11100000010110010	10000111101101100
880	(29)(10)	11100111101101000	11000000101110100	10000011100100110
881	(29)(11)	11110011110110110	11000000101110010	10000111101100110
882	(29)(12)	11100111101100100	10000001011110100	11000111110101000
883	(29)(13)	11100011100100010	10000001011110010	11100011111010110
884	(29)(14)	11100111101100010	11110000011011010	11000111110100100
885	(29)(15)	11000011000101000	11100000010011010	11000111110100010
886	(29)(16)	11100001100010110	11100000110111010	10000111100101000
887	(29)(17)	11000111001101000	11000000100111010	11000011110010110
888	(29)(18)	11100011100110110	11000001101111010	10001111101101000
889	(29)(19)	11001111011101000	10000001001111010	11000111110110110
890	(29)(20)	11000111001100100	10000011011111010	10001111101100100
891	(29)(21)	11000011000100010	10000111010111110	10000111100100010
892	(29)(22)	11001111011100100	10001111010111100	10001111101100010
893	(29)(23)	11000111001100010	10001111010011110	10000011100010110
894	(29)(24)	11001111011100010	10011111010111000	10000111100110110
895	(29)(25)	10000010000101000	11001111101011110	10001111101110110
896	(29)(26)	11000001000010110	10011111010011100	11100111111010100
897	(29)(27)	10000110001101000	10011111010001110	11100111111010010
898	(29)(28)	11000011000110110	10001111001011110	11000111110010100
899	(29)(29)	10001110011101000	10011111011011110	11001111110110100
900	(30)(0)	10000110001100100	10111111010110000	11000111110010010
901	(30)(1)	10000010000100010	11011111101011100	11001111110110010
902	(30)(2)	10011110111101000	10111111010011000	10000111100010100
903	(30)(3)	10001110011100100	11011111101001110	10001111100110100
904	(30)(4)	10000110001100010	10111111010001100	10000111100010010
905	(30)(5)	10011110111100100	10111111010000110	10011111101110100
906	(30)(6)	10001110011100010	10011111001011100	10001111100110010
907	(30)(7)	10000010000110110	10111111011011100	10011111101110010
908	(30)(8)	10000110001110110	10011111001001110	11100111111001010
909	(30)(9)	10001110011110110	10111111011001110	11000111110001010
910	(30)(10)	10011110111110110	10111111001011000	11001111110011010
911	(30)(11)	11111011111010100	11011111100101110	10000111100001010
912	(30)(12)	11111011111010010	10111111001001100	10001111100011010
913	(30)(13)	11110011110010100	10111111001000110	10011111100111010
914	(30)(14)	11110111110110100	10011111000101110	10000001110101100
915	(30)(15)	11110011110010010	10111111001101110	10000001110100110
916	(30)(16)	11110111110110010	10111111000101100	10000011110101000
917	(30)(17)	11100011100010100	10111111000100110	11000001111010110
918	(30)(18)	11100111100110100	10000111101011110	10000011110100100
919	(30)(19)	11100011100010010	10001111101011100	10000011110100010
920	(30)(20)	11101111101110100	10001111101001110	10000001110010110
921	(30)(21)	11100111100110010	10011111101011000	10000011110110110
922	(30)(22)	11101111101110010	11001111110101110	11000011111010100
923	(30)(23)	11000011000010100	10011111101001100	11000011111010010
924	(30)(24)	11000111000110100	10011111101000110	10000011110010100
925	(30)(25)	11000011000010010	10001111100101110	10000111110110100
