##	Base30	Cluster0	Cluster3	Cluster6
105	(3)(15)	11101000010011100	10100111100100000	11110100011110010
106	(3)(16)	10100001000100000	11010011110011000	11101000111110100
107	(3)(17)	11010000100011000	11101001111001110	11101000111110010
108	(3)(18)	11101000010001110	10100111100010000	11010001111110100
109	(3)(19)	10100001000010000	11010011110001100	11010001111110010
110	(3)(20)	11010000100001100	10100111100001000	10100001011110000
111	(3)(21)	10100001000001000	11010011110000110	11010000101111100
112	(3)(22)	11010000100000110	10100111100000100	10100001001111000
113	(3)(23)	10100001101100000	10100111110110000	11010000100111110
114	(3)(24)	11010000110111000	11010011111011100	10100001000111100
115	(3)(25)	11101000011011110	10100111110011000	10100001000011110
116	(3)(26)	10100001100110000	11010011111001110	11111101000011010
117	(3)(27)	11010000110011100	10100111110001100	10100001101111100
118	(3)(28)	10100001100011000	10100111110000110	10100001100111110
119	(3)(29)	11010000110001110	10100111111011100	11111010000111010
120	(4)(0)	10100001100001100	10100111111001110	11110100001111010
121	(4)(1)	10100001100000110	11110100010100000	11101000011111010
122	(4)(2)	11010000111011110	11111010001011000	10100000101111000
123	(4)(3)	10100001110001110	11111101000101110	11010000010111110
124	(4)(4)	10100000101000000	11110100010010000	10100000100111100
125	(4)(5)	11010000010110000	11111010001001100	10100000100011110
126	(4)(6)	11101000001011100	11110100010001000	10100000110111110
127	(4)(7)	10100000100100000	11111010001000110	10100000010111100
128	(4)(8)	11010000010011000	11110100010000100	10100000010011110
129	(4)(9)	11101000001001110	11110100010000010	10010101111000000
130	(4)(10)	10100000100010000	11101000110100000	11001010111110000
131	(4)(11)	11010000010001100	11110100011011000	11100101011111100
132	(4)(12)	10100000100001000	11111010001101110	10010100111100000
133	(4)(13)	11010000010000110	11101000110010000	11001010011111000
134	(4)(14)	10100000100000100	11110100011001100	11100101001111110
135	(4)(15)	10100000110110000	11101000110001000	10010100011110000
136	(4)(16)	10100000110011000	11110100011000110	11001010001111100
137	(4)(17)	10100000110001100	11101000110000100	10010100001111000
138	(4)(18)	10100000010100000	11101000110000010	11001010000111110
139	(4)(19)	11101000000101110	11010001110100000	10010100000111100
140	(4)(20)	11010000001001100	11101000111011000	11111100101101000
141	(4)(21)	11010000001000110	11110100011101110	10010110111110000
142	(4)(22)	10100000010000010	11010001110010000	11001011011111100
143	(4)(23)	11100101011100000	11101000111001100	11111100101100100
144	(4)(24)	11110010101111000	11010001110001000	10010110011111000
145	(4)(25)	11111001010111110	11101000111000110	11001011001111110
146	(4)(26)	11001010011000000	11010001110000100	11111100101100010
147	(4)(27)	11100101001110000	11010001110000010	10010110001111100
148	(4)(28)	11110010100111100	10100011110100000	10010110000111110
149	(4)(29)	11001010001100000	11010001111011000	11111001011101000
150	(5)(0)	11100101000111000	11101000111101110	11111100101110110
151	(5)(1)	11110010100011110	10100011110010000	10010111011111100
152	(5)(2)	10010100001000000	11010001111001100	11111001011100100
153	(5)(3)	11001010000110000	10100011110001000	10010111001111110
154	(5)(4)	10010100000100000	11010001111000110	11111001011100010
155	(5)(5)	11001011011100000	10100011110000100	11110010111101000
156	(5)(6)	11100101101111000	10100011110000010	11111001011110110
157	(5)(7)	11110010110111110	10100011111011000	11110010111100100
158	(5)(8)	10010110011000000	11010001111101110	11110010111100010
159	(5)(9)	11001011001110000	10100011111001100	11100101111101000
160	(5)(10)	11100101100111100	10100011111000110	11110010111110110
161	(5)(11)	10010110001100000	10100011111101110	11100101111100100
162	(5)(12)	11001011000111000	11110100001010000	11100101111100010
163	(5)(13)	10010110000110000	11111010000101100	11001011111101000
164	(5)(14)	10010110000011000	11110100001001000	11100101111110110
165	(5)(15)	10010111011100000	11111010000100110	11001011111100100
166	(5)(16)	11001011101111000	11110100001000100	11001011111100010
167	(5)(17)	11100101110111110	11110100001000010	11011010111100000
168	(5)(18)	10010111001110000	11101000011010000	11101101011111000
169	(5)(19)	11001011100111100	11110100001101100	11110110101111110
170	(5)(20)	10010111000111000	11101000011001000	10110100111000000
171	(5)(21)	10010111000011100	11110100001100110	11011010011110000
172	(5)(22)	10010111101111000	11101000011000100	11101101001111100
173	(5)(23)	11001011110111110	11101000011000010	10110100011100000
174	(5)(24)	10010111100111100	11010000111010000	11011010001111000
175	(5)(25)	10010111110111110	11101000011101100	11101101000111110
176	(5)(26)	11101101011000000	11010000111001000	10110100001110000
177	(5)(27)	11110110101110000	11101000011100110	11011010000111100
178	(5)(28)	11111011010111100	11010000111000100	10110100000111000
179	(5)(29)	11101101001100000	11010000111000010	11011010000011110
180	(6)(0)	11110110100111000	10100001111010000	10110100000011100
181	(6)(1)	11111011010011110	11010000111101100	10010010111100000
182	(6)(2)	11011010001000000	10100001111001000	11001001011111000
183	(6)(3)	11101101000110000	11010000111100110	11100100101111110
184	(6)(4)	11110110100011100	10100001111000100	10110110111100000
185	(6)(5)	11011010000100000	10100001111000010	10010010011110000
186	(6)(6)	11101101000011000	10100001111101100	11001001001111100
187	(6)(7)	11110110100001110	10100001111100110	10110110011110000
188	(6)(8)	11011010000010000	11110100000101000	11011011001111100
189	(6)(9)	11101101000001100	11111010000010110	11001001000111110
190	(6)(10)	11001001011000000	11110100000100100	10110110001111000
191	(6)(11)	11100100101110000	11110100000100010	10010010000111100
192	(6)(12)	11110010010111100	11101000001101000	10110110000111100
193	(6)(13)	11011011011000000	11110100000110110	10010010000011110
