## слоёв	Размер символа	Количество слов (размер слова, битов)	Количество битов	Можно записать цифр	Можно записать символов	Можно записать байт
1	15 x 15	17 (6)	102	13	12	6
2	19 x 19	40 (6)	240	40	33	19
3	23 x 23	51 (8)	408	70	57	33
4	27 x 27	76 (8)	608	110	89	53
